,struct_typ,year_built,no_stories,meandamage
582,4,2003,1.0,0.22894
583,3,2013,1.0,0.13042
584,3,2013,1.0,0.1304799999999999
585,3,2010,1.0,0.12682
586,4,1993,1.0,0.20646
587,3,2014,1.0,0.1277
588,3,2013,1.0,0.1130099999999999
589,3,2015,1.0,0.13202
590,3,2012,1.0,0.13302
591,3,2012,1.0,0.11949
592,3,2014,1.0,0.1355
593,3,2012,1.0,0.12585
594,3,2012,1.0,0.12589
595,4,1972,1.0,0.17837
596,3,1993,1.0,0.10994
597,3,2005,1.0,0.10762
598,3,2013,1.0,0.1324
599,3,2013,1.0,0.13239
600,3,2013,1.0,0.13242
601,3,2013,1.0,0.13242
602,3,2013,1.0,0.13244
603,3,1982,1.0,0.10586
604,3,2011,1.0,0.12465
605,4,1980,1.0,0.18784
606,4,1980,1.0,0.18789
607,4,1994,2.0,0.21338
608,4,1999,1.0,0.22413
609,3,2011,1.0,0.13075
610,3,2011,1.0,0.11971
611,4,2006,2.0,0.24014
612,3,2006,2.0,0.10396
613,1,2013,3.0,0.2414099999999999
614,1,2013,15.0,0.14704
615,3,2008,1.0,0.10754
616,3,2004,1.0,0.11338
617,5,1917,1.0,0.1142
618,5,1932,1.0,0.12315
619,5,1937,1.0,0.12644
620,5,1937,1.0,0.12652
621,1,2013,20.0,0.13139
622,1,2013,1.0,0.24068
623,1,2013,1.0,0.2410199999999999
624,1,2013,0.0,0.2412
625,1,2013,11.0,0.16353
626,1,2013,1.0,0.24139
627,1,2013,13.0,0.15372
628,1,2013,0.0,0.24158
629,1,2013,14.0,0.1503799999999999
630,1,2013,20.0,0.13096
631,1,2013,2.0,0.24063
632,1,2013,20.0,0.13105
633,1,2013,20.0,0.13126
634,1,2013,1.0,0.24085
635,1,2013,1.0,0.24084
636,1,2013,19.0,0.13377
637,1,2014,1.0,0.24275
638,3,2012,2.0,0.10569
639,1,2013,2.0,0.24008
640,3,2004,1.0,0.1083799999999999
641,1,2013,1.0,0.24051
642,1,2013,14.0,0.15015
643,1,2013,17.0,0.13956
644,1,2013,16.0,0.14267
645,3,1997,1.0,0.10737
646,3,1995,1.0,0.1057099999999999
647,3,1994,1.0,0.10495
648,5,1926,1.0,0.1180599999999999
649,5,1926,1.0,0.11809
650,5,1941,1.0,0.12784
651,4,1978,1.0,0.17114
652,3,2007,2.0,0.09811
653,4,1998,1.0,0.2067099999999999
654,4,1994,1.0,0.19851
655,3,1995,1.0,0.10661
656,3,2015,1.0,0.1263099999999999
657,3,1994,1.0,0.10529
658,3,2008,1.0,0.1181599999999999
659,3,2002,2.0,0.09644
660,3,2010,1.0,0.11859
661,3,2000,1.0,0.09981
662,3,2004,1.0,0.11274
663,3,2003,1.0,0.10394
664,1,2003,2.0,0.2169699999999999
665,4,2003,1.0,0.2171
666,1,2007,2.0,0.2270599999999999
