,magnitude,dmin,latitude,longitude
374,6.9,0.751,-29.9772,-177.725
375,6.9,0.402,40.2893,25.3889
376,6.5,3.121,7.2096,-82.3045
377,6.6,3.34,-21.4542,170.355
378,6.5,0.0,49.6388,-127.732
379,7.5,3.82,-6.7547,155.024
380,6.6,3.803,-6.6558,155.087
381,7.2,2.25,17.397,-100.972
382,6.6,2.666,-11.1284,162.052
383,7.4,2.885,-11.4633,162.051
384,7.6,2.828,-11.2701,162.148
385,6.6,0.761,11.642,-85.8779
386,6.5,3.787,-6.7878,154.95
387,7.1,3.729,-6.5858,155.048
388,7.7,1.029,-20.5709,-70.4931
389,6.5,0.828,-20.3113,-70.5756
390,6.9,0.828,-19.8927,-70.9455
391,8.2,0.609,-19.6097,-70.7691
392,6.7,1.008,-19.9807,-70.7022
393,6.8,0.6568,40.8287,-125.134
394,6.5,1.001,27.4312,127.367
395,6.5,1.635,14.6682,-58.9272
396,6.9,7.496,35.9053,82.5864
397,6.5,0.409,-15.0691,167.372
398,6.5,3.651,-32.9076,-177.881
399,6.5,3.997,-13.8633,167.249
400,6.5,5.194,-17.1171,-176.545
401,7.7,8.05,-60.2738,-46.4011
402,6.9,8.284,-60.2627,-47.0621
403,6.6,0.636,-30.2921,-71.5215
404,7.1,3.968,37.1557,144.661
405,6.6,1.98,26.0913,-110.321
406,6.8,5.79,-6.4456,154.931
407,7.1,3.144,9.8796,124.117
408,6.6,1.984,35.5142,23.2523
409,6.7,2.958,53.1995,152.786
410,6.5,1.709,-30.9255,-178.323
411,6.8,7.359,27.1825,65.5052
412,7.1,4.446,-15.8385,-74.5112
413,7.7,7.241,26.951,65.5009
414,6.5,0.735,51.5573,-174.767
415,6.5,3.276,29.9377,138.833
416,6.5,3.097,-7.44,128.221
417,7.0,0.624,51.537,-175.23
418,6.5,0.0,-41.734,174.152
419,6.7,3.741,5.7732,-78.1999
420,6.5,0.0,-41.704,174.337
421,7.3,0.0,-60.857,-25.07
422,6.6,0.0,-6.029,149.706
423,7.3,0.0,-3.917,153.927
424,6.6,0.0,10.701,-42.594
425,6.5,0.0,11.763,-86.926
426,6.7,0.0,-10.004,107.236
427,6.7,0.0,52.235,151.444
428,8.3,0.0,54.892,153.221
429,7.4,0.0,-23.009,-177.232
430,6.8,0.0,18.728,145.288
431,6.5,0.0,-3.898,152.127
432,6.6,0.0,30.308,102.888
433,7.2,0.0,46.221,150.788
434,6.6,0.0,-3.214,142.542
435,7.7,0.0,28.033,61.996
436,6.6,0.0,-6.475,154.607
437,7.0,0.0,-3.517,138.476
438,6.5,0.0,-6.598,148.174
439,6.5,0.0,50.958,157.408
440,6.9,0.0,50.954,157.283
441,6.6,0.0,67.631,142.508
442,6.6,0.0,-10.994,165.741
443,6.9,0.0,1.135,-77.393
444,7.1,0.0,-10.928,166.018
445,6.8,0.0,-10.838,165.969
446,6.7,0.0,-10.997,165.655
447,7.0,0.0,-10.499,165.588
448,7.1,0.0,-11.183,164.882
449,8.0,0.0,-10.799,165.114
450,6.9,0.0,42.77,143.092
451,6.8,0.0,-28.094,-70.653
452,7.5,0.0,55.228,-134.859
453,6.7,0.0,-14.344,167.286
454,7.1,0.0,-6.533,129.825
455,7.3,0.0,37.89,143.949
456,6.5,0.0,14.129,-92.164
457,6.8,0.0,23.005,95.885
458,7.4,0.0,13.988,-91.895
459,7.8,0.0,52.788,-132.101
460,6.5,0.0,10.086,-85.298
461,6.6,0.0,-4.892,134.03
462,7.3,0.0,1.929,-76.362
463,7.6,0.0,10.085,-85.315
464,7.6,0.0,10.811,126.638
465,7.3,0.0,12.139,-88.59
466,6.6,0.0,2.19,126.837
467,7.7,0.0,49.8,145.064
468,6.5,0.0,-4.651,153.173
469,6.6,0.0,-18.685,-174.705
470,6.7,0.0,-1.617,134.276
471,6.8,0.0,-5.462,147.117
472,6.7,0.0,-32.625,-71.365
473,7.0,0.0,28.696,-113.104
474,6.5,0.0,18.229,-102.689
475,8.2,0.0,0.802,92.463
476,8.6,0.0,2.327,93.063
477,7.1,0.0,-35.2,-72.217
478,6.6,0.0,-6.242,145.955
479,7.4,0.0,16.493,-98.231
480,6.7,0.0,51.708,95.991
481,6.7,0.0,9.999,123.206
482,7.1,0.0,-17.827,167.133
483,7.2,0.0,2.433,93.21
484,6.6,0.0,51.842,95.911
485,7.1,0.0,-7.551,146.809
486,6.5,0.0,17.986,-99.789
487,6.9,0.0,-14.438,-75.966
488,7.1,0.0,38.721,43.508
489,6.5,0.0,-6.57,147.881
490,6.9,0.0,27.73,88.155
491,6.7,0.0,40.273,142.779
492,6.7,0.0,2.965,97.893
493,7.0,0.0,-20.671,169.716
494,7.0,0.0,-7.641,-74.525
495,7.1,0.0,-18.311,168.218
496,6.5,0.0,-18.308,168.156
497,7.2,0.0,-18.365,168.143
498,6.6,0.0,-3.518,144.828
499,7.6,0.0,-29.539,-176.34
500,6.7,0.0,39.955,142.205
501,6.8,0.0,-20.244,168.226
502,6.8,0.0,-10.375,161.2
503,6.6,0.0,37.001,140.401
504,7.1,0.0,38.276,141.588
505,6.6,0.0,17.208,-94.338
506,6.9,0.0,20.687,99.822
507,6.6,0.0,39.241,142.463
508,6.5,0.0,36.166,141.562
509,7.7,0.0,38.058,144.59
510,7.9,0.0,36.281,141.111
511,9.1,0.0,38.297,142.373
512,7.3,0.0,38.435,142.842
513,6.7,0.0,-35.38,-72.834
514,6.9,0.0,-36.422,-72.96
515,7.2,0.0,28.777,63.951
516,7.0,0.0,-20.628,168.471
517,7.2,0.0,-38.355,-73.326
518,7.3,0.0,-19.702,167.947
519,6.7,0.0,28.412,59.18
520,6.6,0.0,-6.001,149.977
521,7.8,0.0,-3.487,100.082
522,6.7,0.0,24.696,-109.156
523,7.0,0.0,-4.963,133.76
524,7.0,0.0,-43.522,171.83
525,7.1,0.0,-1.266,-77.306
526,7.3,0.0,-17.541,168.069
527,7.0,0.0,-5.746,150.765
528,6.5,0.0,-5.486,146.822
529,7.6,0.0,6.497,123.48
530,7.3,0.0,-5.931,150.59
531,6.9,0.0,-5.966,150.428
532,6.6,0.0,-38.067,-73.31
533,6.7,0.0,-10.627,161.447
534,6.6,0.0,-2.329,136.484
535,7.0,0.0,-2.174,136.543
536,7.5,0.0,7.881,91.936
537,7.2,0.0,-13.698,166.643
538,7.2,0.0,3.748,96.018
539,6.9,0.0,33.165,96.548
540,6.9,0.0,-10.878,161.116
541,7.8,0.0,2.383,97.048
542,7.2,0.5137,32.2862,-115.295
543,6.6,0.0,13.667,92.831
544,6.7,0.0,-36.217,-73.257
545,6.5,0.0,37.745,141.59
546,7.0,0.0,-34.326,-71.799
547,6.9,0.0,-34.29,-71.891
548,6.8,0.0,-3.762,100.991
549,6.6,0.0,-36.665,-73.374
550,6.5,0.0,-13.571,167.227
551,7.4,0.0,-37.773,-75.048
552,8.8,0.0,-36.122,-72.898
553,7.0,0.0,25.93,128.425
554,7.0,0.0,18.443,-72.571
555,6.5,0.3225,40.652,-124.692
556,6.8,0.0,-9.019,157.551
557,7.1,0.0,-8.783,157.354
558,6.6,0.0,-8.726,157.487
559,6.5,0.0,-19.394,-70.321
560,7.3,0.0,-17.239,178.331
561,6.6,0.0,-8.207,118.631
562,6.8,0.0,29.218,129.782
563,6.9,0.0,-6.133,130.385
564,6.8,0.0,-13.298,165.91
565,7.4,0.0,-13.093,166.497
566,7.8,0.0,-12.517,166.382
567,7.7,0.0,-13.006,166.51
568,6.6,0.0,-2.482,101.524
569,7.6,0.0,-0.72,99.867
570,8.1,0.0,-15.489,-172.095
571,7.0,0.0,-7.782,107.297
572,6.7,0.0,-1.479,99.49
573,6.6,0.0,32.821,140.395
574,7.5,0.0,14.099,92.902
575,7.1,0.0,33.167,137.944
576,6.9,0.0,29.039,-112.903
577,7.8,0.0,-45.762,166.562
578,6.7,0.0,-5.157,153.782
579,7.3,0.0,16.731,-86.217
580,7.6,0.0,-23.043,-174.66
581,7.2,0.0,3.886,126.387
582,7.4,0.0,-0.691,133.305
583,6.6,0.0,36.419,70.743
584,7.7,0.0,-0.414,132.885
585,7.4,0.0,1.271,122.091
586,6.7,0.0,14.423,-92.364
587,6.7,0.0,39.533,73.824
588,6.8,0.0,41.892,143.754
589,6.6,0.0,1.885,127.363
590,6.9,0.0,-13.501,166.967
591,6.7,0.0,30.901,83.52
592,6.8,0.0,39.802,141.464
593,7.0,0.0,37.552,142.214
594,6.9,0.0,37.55,142.714
595,6.6,0.0,11.005,91.824
596,6.9,0.0,39.03,140.881
597,7.9,0.0,31.002,103.322
598,6.9,0.0,36.164,141.526
599,7.3,0.0,-20.071,168.892
600,7.2,0.0,35.49,81.467
601,6.9,0.0,13.351,125.63
602,6.7,0.0,-2.245,99.808
603,6.6,0.0,-2.332,99.891
604,7.2,0.0,-2.486,99.972
605,6.5,0.0,-2.405,99.931
606,7.4,0.0,2.768,95.964
607,6.5,0.0,36.345,21.863
608,6.9,0.0,36.501,21.67
609,6.5,0.0,16.357,-94.304
610,6.6,0.0,-39.011,178.291
611,6.7,0.0,-22.954,-70.182
612,7.4,0.0,14.944,-61.274
613,6.6,0.0,-10.95,162.149
614,6.5,0.0,-8.224,118.467
615,6.5,0.0,-8.292,118.37
616,6.8,0.0,-5.757,147.098
617,6.8,0.0,-2.312,-77.838
618,6.8,0.0,-22.925,-70.237
619,7.7,0.0,-22.247,-69.89
620,6.8,0.0,-3.899,101.02
621,6.8,0.0,-44.796,167.553
622,6.8,0.0,-4.99,153.5
623,6.7,0.0,-1.999,100.141
624,7.0,0.0,-2.13,99.627
625,6.5,0.0,-1.689,99.668
626,7.9,0.0,-2.625,100.841
627,7.8,0.0,-2.52,100.139
628,8.4,0.0,-4.438,101.367
629,6.8,0.0,2.966,-77.963
630,7.2,0.0,-11.61,165.762
631,6.5,0.0,-9.834,159.465
632,8.0,0.0,-13.386,-76.603
633,7.5,0.0,-5.859,107.419
634,7.2,0.0,-15.595,167.68
635,6.9,0.0,2.872,127.464
636,6.8,0.0,36.808,134.85
637,6.6,0.0,37.535,138.446
638,6.7,0.0,13.554,-90.618
639,6.9,0.0,-7.306,155.741
640,6.6,0.0,-7.169,155.777
641,8.1,0.0,-8.466,157.043
642,6.7,0.0,37.336,136.588
